pallet_id,boxes,source_pallet_id:boxes
2322053,75,2322053:52 2322061:23
2322061,75,2322061:11 2322060:22 2322072:42
2322072,75,2322072:38 2322077:37
2322077,75,2322077:15 2322075:19 2283097:41
2283097,75,2283097:12 2322082:63
2322082,75,2322082:2 2322114:42 2322051:31
2322051,75,2322051:53 2322117:14 2322123:8
2322123,75,2322123:65 2322125:10
2322125,75,2322125:64 2322067:11
2322067,74,2322067:43 2283053:31
2283053,74,2283053:16 2337062:58
2337062,74,2337062:1 2322165:65 2322167:8
2322167,74,2322167:44 2322177:30
2322177,74,2322177:58 2290314:16
2290314,74,2290314:60 2322154:14
2322154,74,2322154:24 2291375:50
2291375,74,2291375:24 2322199:35 2330159:15
2330159,74,2330159:34 2322202:40
2322202,74,2322202:40 2322173:34
2322173,74,2322173:43 2322219:31
2322219,74,2322219:50 2322218:24
2322218,74,2322218:1 2322224:2 2330142:51 2322185:20
2322185,74,2322185:39 2322226:35
2322226,74,2322226:37 2322253:22 2337602:9 2322250:6
2322250,74,2322250:43 2322238:31
2322238,74,2322238:26 2322246:42 2322247:6
2322247,74,2322247:22 2322261:31 2322269:21
2322269,74,2322269:37 2322273:18 2322274:19
2322274,74,2322274:47 2322282:27
2322282,74,2322282:22 2322285:50 2320486:2
2320486,74,2320486:55 2322235:19
2322235,74,2322235:4 2322287:50 2322229:11 2322298:9
2322298,74,2322298:74
2322300,74,2322298:2 2322300:43 2299167:29
2299167,74,2299167:57 2322222:17
2322222,74,2322222:49 2332253:25
2332253,74,2332253:14 2340036:60
2340036,74,2340036:11 2340035:28 2322327:35
2322327,74,2322327:25 2322323:12 2322343:37
2322343,74,2322343:55 2322366:10 2323515:9
2323515,74,2323515:37 2322358:17 2322370:20
2322370,74,2322370:19 2322389:55
2322389,74,2322389:22 2322397:48 2322401:4
2322401,74,2322401:62 2322412:12
2322412,74,2322412:17 2322424:57
2322424,74,2322424:2 2332263:72
2332263,74,2332263:25 2332278:27 2322393:22
2322393,74,2322393:58 2332279:16
2332279,74,2332279:23 2323544:51
2323544,74,2323544:14 2332289:60
2332289,74,2332289:6 2322436:40 2313592:28
2313592,74,2313592:21 2332290:1 2322445:52
2322445,74,2322445:12 2333364:51 2332287:11
2332287,74,2332287:35 2332291:39
2332291,74,2332291:53 2322463:21
2322463,74,2322463:37 2322480:1 2322471:2 2320581:34
2320581,74,2320581:23 2332285:31 2325145:20
2325145,74,2325145:56 2332345:18
2332345,74,2332345:47 2332329:19 2332366:8
